"id"	"primary_name"	"location"	"last_status_check_time"	"total.dois"	"current.dois"	"backfile.dois"	"prefixes"	"coverge.references.backfile"	"coverge.references.current"	"combinedPercEst"
2053	"Korean Society for Information Management"	"245 Daehangno Yusong Yusong Daejeon 305-806 South Korea"	"2018-03-26"	879	68	811	10.3743	0.832305788993835	0.735294103622437	0.00414122578143
2957	"The Korean Nutrition Society and The Korean Society of Community Nutrition (KAMJE)"	"302-75 Ichon1-Dong Yongsan-Gu Yongsan-Gu Seoul 140-721 South Korea"	"2018-03-26"	734	74	660	10.4162	0.980303049087524	1	0.00411837774454
6452	"Korea Distribution Science Association"	"201 Gajeaong-ro, Yuseong-gu Daejeon 305-754 South Korea"	"2018-03-26"	786	247	539	10.15722	0.938775539398193	0.862348198890686	0.004106953721669
404	"BioOne"	"Suite 800 21 DuPont Circle 21 DuPont Circle Washington DC 20036 United States"	"2018-03-26"	772	172	600	"10.12952, 10.1199, 10.7872"	0.943333327770233	0.889534890651703	0.00410695359025
4415	"Wildlife Disease Association"	"129 N. Frey Ave. Fort Collins CO 80521 United States"	"2018-03-26"	6182	374	5808	10.7589	0.063188701868057	0.935828864574432	0.004095529393062
3947	"Korean Association of Human Ecology"	"Dongsin Tower, 4th Floor 5, Mullae-dong 6-ga, Mullae-dong 6-ga Mullae-dong 6-ga Seoul 150-096 South Korea"	"2018-03-26"	920	100	820	10.5934	0.747560977935791	1	0.004072681399751
1896	"Korean Pain Society (KAMJE)"	"302-75 Ichon1-Dong Yongsan-Gu Yongsan-Gu Seoul 140-721 South Korea"	"2018-03-26"	714	52	662	10.3344	0.998489439487457	0.980769217014313	0.004066969400231
3915	"The Korean Institute of Broadcast and Media Engineers"	"245 Daehangno Yusong Yusong Daejeon 305-806 South Korea"	"2018-03-26"	837	84	753	10.5909	0.875165998935699	0.63095235824585	0.004066969326351
121	"Japanese Society of Toxicologic Pathology"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	1052	65	987	10.1293	0.664640307426453	0.81538462638855	0.004049833155859
4339	"Korean Data and Information Science Society"	"Dongsin Tower, 4th Floor 5, Mullae-dong 6-ga, Mullae-dong 6-ga Mullae-dong 6-ga Seoul 150-096 South Korea"	"2018-03-26"	766	173	593	10.7465	0.978077590465546	0.734104037284851	0.00403840923002
3080	"The Ergonomics Society of Korea"	"245 Daehangno Yusong Yusong Daejeon 305-806 South Korea"	"2018-03-26"	833	48	785	10.5143	0.850955426692963	0.791666686534882	0.004032697201901
1518	"Japan Pancreas Society"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	870	62	808	10.2958	0.799504935741425	0.967741906642914	0.00403269706129
4770	"The Korean Society of Food Preservation"	"245 Daehangno Yusong Yusong Daejeon 305-806 South Korea"	"2018-03-26"	810	158	652	10.11002	0.987730085849762	0.379746824502945	0.00402127314975
2395	"Japanese Society of Clinical Pharmacology and Therapeutics"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	7579	45	7534	10.3999	0.088797450065613	0.688888907432556	0.003998424866705
2357	"Society of Southwestern Entomologists"	"Suite 800 21 DuPont Circle 21 DuPont Circle Washington DC 20036 United States"	"2018-03-26"	800	227	573	10.3958	0.856893539428711	0.907489001750946	0.003981288827632
